Price,Close,High,Low,Open,Volume,label
Ticker,FLOKI-USD,FLOKI-USD,FLOKI-USD,FLOKI-USD,FLOKI-USD,0
2024-05-14,0.00018899999849963933,0.00020599999697878957,0.00018200000340584666,0.0001829999964684248,775454781,0
2024-05-15,0.00021100000594742596,0.0002280000044265762,0.00018899999849963933,0.00018899999849963933,1062963100,0
2024-05-16,0.00020599999697878957,0.00022200000239536166,0.00019799999427050352,0.00021100000594742596,487345716,0
2024-05-17,0.0002099999983329326,0.00022000000171829015,0.00020300000323913991,0.00020599999697878957,385049013,0
2024-05-18,0.00020399999630171806,0.00021399999968707561,0.0001990000018849969,0.0002099999983329326,242075699,0
2024-05-19,0.00019299999985378236,0.00020700000459328294,0.00019099999917671084,0.00020399999630171806,177899237,0
2024-05-20,0.00021499999274965376,0.00021600000036414713,0.0001900000061141327,0.00019299999985378236,314588565,0
2024-05-21,0.0002300000051036477,0.00023400000645779073,0.00020900000527035445,0.00021499999274965376,625441037,0
2024-05-22,0.0002229999954579398,0.00024399999529123306,0.00021699999342672527,0.0002300000051036477,648133022,0
2024-05-23,0.00022600000374950469,0.00023099999816622585,0.00021300000662449747,0.0002229999954579398,594528843,0
2024-05-24,0.00022000000171829015,0.0002300000051036477,0.0002119999990100041,0.00022600000374950469,325257191,0
2024-05-25,0.00022499999613501132,0.00023299999884329736,0.00021899999410379678,0.00022000000171829015,306257802,0
2024-05-26,0.00022499999613501132,0.00023200000578071922,0.00022200000239536166,0.00022499999613501132,266941946,0
2024-05-27,0.00027799999224953353,0.00028899998869746923,0.00022499999613501132,0.00022499999613501132,1288867401,0
2024-05-28,0.000295000005280599,0.000311999989207834,0.00026000000070780516,0.00027799999224953353,1246378917,0
2024-05-29,0.0002680000034160912,0.00030899999546818435,0.00026500000967644155,0.000295000005280599,661550566,0
2024-05-30,0.00024900000425986946,0.0002849999873433262,0.0002410000015515834,0.0002680000034160912,698033869,0
2024-05-31,0.00025499999173916876,0.0002680000034160912,0.00024399999529123306,0.0002479999966453761,517413751,0
2024-06-01,0.0002519999979995191,0.0002629999944474548,0.00025099999038502574,0.00025499999173916876,291068615,0
2024-06-02,0.00024399999529123306,0.0002570000069681555,0.00023499999952036887,0.0002519999979995191,296444019,0
2024-06-03,0.0002690000110305846,0.0002849999873433262,0.00024199999461416155,0.00024399999529123306,834729260,0
2024-06-04,0.000295000005280599,0.00030399998649954796,0.0002579999854788184,0.0002690000110305846,740368099,0
2024-06-05,0.00030899999546818435,0.0003459999861661345,0.00029299999005161226,0.000295000005280599,1465443716,0
2024-06-06,0.00031999999191612005,0.0003279999946244061,0.00030399998649954796,0.00030899999546818435,761695970,0
2024-06-07,0.00028300000121816993,0.0003260000084992498,0.0002570000069681555,0.00031999999191612005,759932903,0
2024-06-08,0.0002800000074785203,0.00029200001154094934,0.00026699999580159783,0.00028300000121816993,495664861,0
2024-06-09,0.0002800000074785203,0.0002859999949578196,0.0002730000123847276,0.0002800000074785203,395677263,0
2024-06-10,0.00026500000967644155,0.0002789999998640269,0.0002589999930933118,0.0002789999998640269,418087138,0
2024-06-11,0.00023700000019744039,0.00026599998818710446,0.00023200000578071922,0.00026500000967644155,426392420,0
2024-06-12,0.00021899999410379678,0.00025099999038502574,0.00021600000036414713,0.00023700000019744039,658406878,0
2024-06-13,0.00020599999697878957,0.00022200000239536166,0.00020199999562464654,0.00021899999410379678,333478839,0
2024-06-14,0.0002010000025620684,0.00021600000036414713,0.00019099999917671084,0.00020599999697878957,296881232,0
2024-06-15,0.00020199999562464654,0.00020799999765586108,0.00019799999427050352,0.0002010000025620684,188087888,0
2024-06-16,0.00020700000459328294,0.00020799999765586108,0.000195999993593432,0.00020199999562464654,172662917,0
2024-06-17,0.00018200000340584666,0.00020700000459328294,0.00017699999443721026,0.00020700000459328294,279710547,0
2024-06-18,0.00016799999866634607,0.00018200000340584666,0.00015900000289548188,0.00018200000340584666,320536996,0
2024-06-19,0.00017100000695791095,0.00018000000272877514,0.00016500000492669642,0.00016799999866634607,251906414,0
2024-06-20,0.00017600000137463212,0.0001900000061141327,0.00016999999934341758,0.00017100000695791095,311772848,0
2024-06-21,0.00016999999934341758,0.00017600000137463212,0.00016599999798927456,0.00017600000137463212,223470139,0
2024-06-22,0.00016999999934341758,0.00017299999308306724,0.00016599999798927456,0.00016999999934341758,147624080,0
2024-06-23,0.00015900000289548188,0.0001740000006975606,0.00015799999528098851,0.00016999999934341758,155013828,0
2024-06-24,0.00016799999866634607,0.00016900000628083944,0.00015100000018719584,0.00015900000289548188,274658131,0
2024-06-25,0.00017800000205170363,0.00018099999579135329,0.00016799999866634607,0.00016799999866634607,267973959,0
2024-06-26,0.00016799999866634607,0.0001849999971454963,0.00016700000560376793,0.00017800000205170363,203829103,0
2024-06-27,0.0001740000006975606,0.00017699999443721026,0.00016599999798927456,0.00016799999866634607,181903723,0
2024-06-28,0.00016399999731220305,0.00017600000137463212,0.00016199999663513154,0.0001740000006975606,164362500,0
2024-06-29,0.00016399999731220305,0.00017100000695791095,0.0001630000042496249,0.00016399999731220305,121770531,0
2024-06-30,0.00017100000695791095,0.00017299999308306724,0.00015999999595806003,0.00016399999731220305,150632290,0
2024-07-01,0.00016999999934341758,0.00017800000205170363,0.00016599999798927456,0.00017100000695791095,190695298,0
2024-07-02,0.0001829999964684248,0.00018400000408291817,0.00016900000628083944,0.00016999999934341758,303414226,0
2024-07-03,0.00016199999663513154,0.00018600000475998968,0.00015999999595806003,0.0001829999964684248,267699232,0
2024-07-04,0.00014200000441633165,0.00016500000492669642,0.00014099999680183828,0.00016199999663513154,276649462,0
2024-07-05,0.00013899999612476677,0.0001449999981559813,0.0001230000052601099,0.00014200000441633165,350055733,0
2024-07-06,0.00015199999324977398,0.0001539999939268455,0.00013699999544769526,0.00013899999612476677,186153565,0
2024-07-07,0.00013600000238511711,0.00015199999324977398,0.00013600000238511711,0.00015199999324977398,179269672,0
2024-07-08,0.00014200000441633165,0.00014699999883305281,0.00013000000035390258,0.00013600000238511711,275744618,0
2024-07-09,0.00014400000509340316,0.00014899999951012433,0.00014099999680183828,0.00014200000441633165,177190427,0
2024-07-10,0.00014899999951012433,0.000155999994603917,0.00014200000441633165,0.00014400000509340316,193982722,0
